State,District,Market,Commodity,Variety,Arrival_Date,Min Price,Max Price,Modal Price
Andhra Pradesh,Chittor,Chittoor,Gur(Jaggery),NO 2,03/09/2022,3500,3700,3600
Andhra Pradesh,Chittor,Mulakalacheruvu,Tomato,Local,03/09/2022,1500,2400,2000
Andhra Pradesh,Chittor,Punganur,Tomato,Hybrid,03/09/2022,2540,2670,2600
Andhra Pradesh,Chittor,Vayalapadu,Tomato,Local,03/09/2022,1120,4000,2560
Andhra Pradesh,Kurnool,Adoni,Castor Seed,Castor seed,03/09/2022,5956,6847,6426
Andhra Pradesh,Kurnool,Adoni,Cotton,Bunny,03/09/2022,6686,10762,9669
Andhra Pradesh,Kurnool,Adoni,Groundnut,Balli/Habbu,03/09/2022,4066,7489,5579
Andhra Pradesh,Kurnool,Alur,Jowar(Sorghum),Jowar ( White),03/09/2022,2460,2560,2510
Andhra Pradesh,Kurnool,Atmakur,Maize,Hybrid/Local,03/09/2022,1850,1850,1850
Andhra Pradesh,Kurnool,Atmakur,Paddy(Dhan)(Common),Sona Mahsuri,03/09/2022,1800,1800,1800
Andhra Pradesh,Kurnool,Banaganapalli,Bengal Gram(Gram)(Whole),Desi (Whole),03/09/2022,4700,4900,4800
Andhra Pradesh,Kurnool,Banaganapalli,Jowar(Sorghum),Jowar ( White),03/09/2022,1500,2300,1800
Andhra Pradesh,Kurnool,Banaganapalli,Paddy(Dhan)(Common),Sona Mahsuri,03/09/2022,1600,2000,1800
Andhra Pradesh,Kurnool,Dhone,Arhar (Tur/Red Gram)(Whole),777 New Ind,03/09/2022,5675,5675,5675
Andhra Pradesh,Kurnool,Kurnool,Arhar (Tur/Red Gram)(Whole),Local,03/09/2022,1800,5800,5379
Andhra Pradesh,Kurnool,Kurnool,Castor Seed,Other,03/09/2022,5202,6903,6021
Andhra Pradesh,Kurnool,Kurnool,Groundnut,Local,03/09/2022,4509,7750,5400
Andhra Pradesh,Kurnool,Kurnool,Onion,Local,03/09/2022,409,1151,629
Andhra Pradesh,Kurnool,Kurnool,Sunflower,Bold,03/09/2022,4818,5789,5469
Andhra Pradesh,Kurnool,Nandikotkur,Bengal Gram(Gram)(Whole),Gulabi,03/09/2022,5230,5230,5230
Andhra Pradesh,Kurnool,Nandikotkur,Maize,Hybrid,03/09/2022,1850,1850,1850
Andhra Pradesh,Kurnool,Nandikotkur,Paddy(Dhan)(Common),Sona,03/09/2022,1800,1800,1800
Andhra Pradesh,Kurnool,Pattikonda,Bengal Gram(Gram)(Whole),Jawari/Local,03/09/2022,5000,5500,5400
Andhra Pradesh,Kurnool,Pattikonda,Onion,Local,03/09/2022,1000,2000,1500
Andhra Pradesh,Kurnool,Pattikonda,Tomato,Local,03/09/2022,1200,2800,2000
Andhra Pradesh,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,03/09/2022,3380,3900,3640
Andhra Pradesh,Visakhapatnam,Anakapally,Gur(Jaggery),NO 2,03/09/2022,2900,3350,3125
Andhra Pradesh,Visakhapatnam,Anakapally,Gur(Jaggery),NO 3,03/09/2022,2700,2850,2775
Andhra Pradesh,West Godavari,Tanuku,Paddy(Dhan)(Common),MTU-1010,03/09/2022,1960,1980,1970
Bihar,Aurangabad,Daunagar,Onion,1st Sort,03/09/2022,1500,1700,1600
Bihar,Aurangabad,Daunagar,Potato,(Red Nanital),03/09/2022,1400,1600,1500
Bihar,Bhagalpur,Bihpur,Bhindi(Ladies Finger),Bhindi,03/09/2022,500,700,550
Bihar,Bhagalpur,Bihpur,Bottle gourd,Bottle Gourd,03/09/2022,650,800,750
Bihar,Bhagalpur,Bihpur,Brinjal,Arkasheela Mattigulla,03/09/2022,550,700,600
Bihar,Bhagalpur,Bihpur,Pointed gourd (Parval),Other,03/09/2022,1200,1400,1350
Bihar,Bhagalpur,Bihpur,Raddish,Other,03/09/2022,1500,1700,1650
Bihar,Bhagalpur,Bihpur,Sponge gourd,Other,03/09/2022,550,700,600
Bihar,Chhapra,Chhapra,Bitter gourd,Bitter Gourd,03/09/2022,1200,1400,1300
Bihar,Chhapra,Chhapra,Brinjal,Arkasheela Mattigulla,03/09/2022,800,1000,900
Bihar,Chhapra,Chhapra,Onion,Other,03/09/2022,1400,1500,1450
Bihar,Chhapra,Chhapra,Potato,Other,03/09/2022,1300,1400,1350
Bihar,East Champaran/ Motihari,Chakia,Onion,1st Sort,03/09/2022,1500,1700,1600
Bihar,East Champaran/ Motihari,Chakia,Potato,(Red Nanital),03/09/2022,1400,1600,1500
Bihar,East Champaran/ Motihari,Chakia,Tomato,Deshi,03/09/2022,2600,2800,2700
Bihar,East Champaran/ Motihari,Madhuban,Bitter gourd,Bitter Gourd,03/09/2022,1600,1800,1700
Bihar,East Champaran/ Motihari,Madhuban,Onion,1st Sort,03/09/2022,1700,1900,1800
Bihar,East Champaran/ Motihari,Madhuban,Potato,(Red Nanital),03/09/2022,1500,1700,1600
Bihar,East Champaran/ Motihari,Raxaul,Bhindi(Ladies Finger),Bhindi,03/09/2022,1000,1200,1000
Bihar,East Champaran/ Motihari,Raxaul,Bitter gourd,Bitter Gourd,03/09/2022,1000,1300,1200
Bihar,East Champaran/ Motihari,Raxaul,Brinjal,Arkasheela Mattigulla,03/09/2022,1200,1400,1400
Bihar,East Champaran/ Motihari,Raxaul,Green Chilli,Green Chilly,03/09/2022,3400,3600,3500
Bihar,East Champaran/ Motihari,Raxaul,Onion,1st Sort,03/09/2022,1700,2000,1800
Bihar,East Champaran/ Motihari,Raxaul,Pointed gourd (Parval),Other,03/09/2022,1800,2100,2000
Bihar,East Champaran/ Motihari,Raxaul,Potato,(Red Nanital),03/09/2022,1800,1900,1800
Bihar,East Champaran/ Motihari,Raxaul,Sponge gourd,Other,03/09/2022,1200,1600,1400
